user_id,session_id,turn_index,timestamp,channel,modality,persona,utterance,true_intent,predicted_intent,confidence,is_fallback,is_correct,response_time_ms,time_to_first_response_ms,csat,frustrated_signal
U208f6f8c,S0212279e59,0,2026-09-07T01:02:00,web,text,family,Is there a family room for changing my baby?,family_room,restroom,0.527,False,False,586,307,2,False
U208f6f8c,S0212279e59,1,2026-09-07T01:02:55,web,text,family,"as I said Do I need to declare anything at customs? for the third time,",customs,customs,0.819,False,True,618,228,3,True
U208f6f8c,S0212279e59,2,2026-09-07T01:04:23,web,text,family,Is there a family room for changing my baby?,family_room,family_room,0.935,False,True,669,323,5,False
U208f6f8c,S0212279e59,3,2026-09-07T01:05:18,web,text,family,Where do I pick up my luggage?,baggage_claim,baggage_claim,0.945,False,True,756,398,4,False
U208f6f8c,S78d2c6b268,0,2026-09-04T13:39:00,web,text,family,Where are the self check-in kiosks?,self_checkin_kiosk,fallback,0.422,True,False,1069,448,1,False
U208f6f8c,S2b4d113c52,0,2026-09-04T02:24:00,mobile_app,text,family,Has my gate changed?,gate_change,boarding_time,0.487,False,False,1054,515,2,False
U208f6f8c,S2b4d113c52,1,2026-09-04T02:25:14,mobile_app,text,family,"I see an unattended bag, who do I report it to?",unattended_baggage,fallback,0.41,True,False,1057,540,1,False
U208f6f8c,S2b4d113c52,2,2026-09-04T02:26:24,mobile_app,text,family,Is there a play area for children?,kids_play_area,kids_play_area,0.786,False,True,1035,555,4,False
U208f6f8c,S2b4d113c52,3,2026-09-04T02:27:14,mobile_app,text,family,Is there a hotel inside the airport?,hotel_airside,lounge,0.526,False,False,583,342,3,False
U208f6f8c,S2b4d113c52,4,2026-09-04T02:27:45,mobile_app,voice,family,Where is the nearest emergency exit?,emergency_exit,police_desk,0.463,False,False,2593,1103,2,False
U208f6f8c,S2b4d113c52,5,2026-09-04T02:29:01,mobile_app,text,family,Where can I rent a car?,car_rental,car_rental,0.929,False,True,1205,569,5,False
U208f6f8c,S2b4d113c52,6,2026-09-04T02:29:10,mobile_app,text,family,"I've lost my child, who do I contact?",lost_child,out_of_scope,0.479,False,False,797,404,2,False
U208f6f8c,S8c1d1272db,0,2026-08-29T07:15:00,kiosk,image,family,Which bus goes to the city centre?,bus_stop,bus_stop,0.613,False,True,912,544,4,False
U208f6f8c,S8c1d1272db,1,2026-08-29T07:15:47,kiosk,text,family,"I've lost my child, who do I contact?",lost_child,uber_pickup,0.634,False,False,725,297,2,False
