id,service_name,category,terminal,floor_or_zone,short_description,opening_hours,directions,accessibility,related_facilities,emergency_or_help_contact
KB001,Gate B12,gate,Terminal 1,"Level 2, Pier B","Departure gate B12, used for short and medium haul flights.",Opens 90 min before scheduled departure,"From main check-in hall, follow signs to Pier B, take escalator to Level 2, gate is on the left after security.","Step-free access, wheelchair ramp available, accessible seating near gate desk.","Restroom Block A, Vending machines, Gate B10-B14",Gate agent desk / Airport info line +49-30-000-1111
KB002,Terminal 1 Check-in Area,check_in,Terminal 1,"Ground Floor, Zone A",Main check-in counters for international and domestic flights departing from Terminal 1.,04:00 - 23:00 daily,"Enter Terminal 1 main hall, check-in counters are directly ahead, organized by airline alliance.","Priority check-in lane for reduced-mobility passengers, low-height counters available.","Baggage drop, Ticketing office, Currency exchange",Check-in supervisor desk / +49-30-000-1112
KB003,Baggage Claim Hall,baggage_claim,Terminal 1,"Ground Floor, Arrivals",Central baggage claim hall with carousels 1 to 8 for arriving flights.,24 hours,"Follow 'Baggage Claim' signs after passport control, carousels are numbered and matched to flight number on arrival screens.","Wheelchair accessible, baggage trolleys available, lowered carousel viewing area.","Lost and Found, Customs desk, Trolley rental",Baggage services desk / +49-30-000-1113
KB004,Security Control,security,Terminal 1,"Ground Floor, Departures",Central security screening checkpoint for all departing passengers.,04:00 - 23:30 daily,"After check-in, follow overhead signs to 'Security Control', multiple lanes including fast-track for premium passengers.","Dedicated accessible lane, staff assistance available for passengers with disabilities.","Fast-track lane, Liquids repacking station, Duty free zone beyond security",Security supervisor / +49-30-000-1114
KB005,Information Desk,information_desk,Terminal 1,"Ground Floor, Main Hall",General passenger information and wayfinding assistance desk.,05:00 - 22:00 daily,"Located in the center of the main terminal hall, opposite the check-in counters.","Fully wheelchair accessible, hearing loop available, multilingual staff.","Lost and Found, Special Assistance Desk, Currency exchange",Information desk / +49-30-000-1115
KB006,Lost and Found Office,information_desk,Terminal 1,"Ground Floor, near Baggage Claim",Office for reporting and retrieving lost items and mishandled baggage.,06:00 - 22:00 daily,"Adjacent to Baggage Claim Hall, next to Carousel 1, clearly signed 'Lost and Found'.","Step-free access, counter at wheelchair-accessible height.","Baggage Claim Hall, Customs desk",Lost and Found office / +49-30-000-1116
KB007,Airport Lounge (Terminal 2),lounge,Terminal 2,"Level 3, Airside","Premium passenger lounge with seating, food, and Wi-Fi, near gates C1-C10.",05:00 - 23:00 daily,"After security, take escalator to Level 3, lounge entrance is opposite Gate C3.","Wheelchair accessible entrance, accessible restrooms inside lounge.","Business center, Shower facilities, Quiet zone",Lounge reception / +49-30-000-1117
KB008,Prayer Room,lounge,Terminal 1,"Level 1, near Gate A5",Quiet multi-faith prayer and reflection room for passengers.,24 hours,"From main hall, follow signs to Gate A5, prayer room is on the right before the gate.","Step-free access, prayer mats and ablution facilities available.","Restroom Block A, Family Room",Information desk / +49-30-000-1115
KB009,Restaurant Court,restaurant,Terminal 1,"Level 2, Airside",Food court with international and local dining options after security.,05:00 - 23:30 daily,"Take escalator up after security screening, restaurant court is straight ahead on Level 2.","Wheelchair accessible seating and counters, accessible restrooms nearby.","Duty free shops, Lounge, Restrooms",Food court management / +49-30-000-1118
KB010,Train Station Connection,transport,All Terminals,"Basement Level, Central Hub",Direct rail link connecting the airport to the city center and regional trains.,04:30 - 01:00 daily,"Follow 'Train Station' signs from arrivals hall, take elevator or escalator down to basement level.","Elevators available, tactile guidance paths, accessible ticket machines.","Ticket office, Taxi Pickup Zone, Car rental counter",Station staff / +49-30-000-1119
KB011,Taxi Pickup Zone,transport,All Terminals,"Ground Floor, Curbside Arrivals",Designated taxi pickup point directly outside the arrivals hall.,24 hours,"Exit through the main arrivals doors, taxi zone is marked with yellow signage to the right.","Step-free curb access, accessible taxi vehicles available on request.","Shuttle Bus Stop, Car Rental Counter",Ground transport desk / +49-30-000-1120
KB012,Special Assistance Desk,information_desk,Terminal 1,"Ground Floor, Main Hall","Dedicated desk for passengers needing mobility, visual, hearing, or cognitive assistance.",04:00 - 23:00 daily,"Located near the main entrance, marked with the international accessibility symbol.","Fully accessible desk, wheelchair loan service, staff trained in assistance procedures.","Information Desk, Security fast-track lane",Special assistance line / +49-30-000-1121
KB013,Restroom Block A,restroom,Terminal 1,"Level 1, near Gate A5",Public restroom facility with standard and accessible stalls.,24 hours,Located next to the Prayer Room near Gate A5.,"Wheelchair-accessible stall, baby changing station, emergency call button.","Prayer Room, Family Room",Facilities management / +49-30-000-1122
KB014,Family Room,lounge,Terminal 1,"Level 1, near Gate A5",Family-friendly space with baby changing facilities and a small play area.,24 hours,Adjacent to Restroom Block A near Gate A5.,"Step-free access, low changing tables, accessible seating.","Restroom Block A, Prayer Room",Information desk / +49-30-000-1115
KB015,Pharmacy,restaurant,Terminal 1,"Ground Floor, Main Hall",Airport pharmacy offering over-the-counter medication and travel health items.,06:00 - 22:00 daily,Located near the Information Desk in the main terminal hall.,"Step-free access, wheelchair-accessible counter.","Information Desk, Medical Assistance Point",Pharmacy desk / +49-30-000-1123
KB016,ATM Area,information_desk,Terminal 1,"Ground Floor, Main Hall",Cluster of bank ATMs and a currency exchange kiosk.,24 hours,Next to the Information Desk in the main terminal hall.,"Step-free access, ATM screens with audio guidance for visually impaired users.","Information Desk, Pharmacy",Bank support line / +49-30-000-1124
KB017,Immigration Desk,security,Terminal 1,"Ground Floor, Arrivals",Passport control and immigration checkpoint for arriving international passengers.,24 hours,"Follow 'Passport Control' signs immediately after leaving the aircraft, before baggage claim.","Dedicated accessible counters, staff assistance for reduced-mobility passengers.","Baggage Claim Hall, Customs desk",Border police / +49-30-000-1125
KB018,Shuttle Bus Stop,transport,All Terminals,"Ground Floor, Curbside",Shuttle bus stop connecting terminals and long-term parking areas.,05:00 - 00:30 daily,"Exit arrivals hall and turn right, shuttle stop is marked with a blue bus sign.","Low-floor buses with wheelchair ramps, audio stop announcements.","Taxi Pickup Zone, Car Rental Counter",Ground transport desk / +49-30-000-1120
KB019,Car Rental Counter,transport,All Terminals,"Ground Floor, Arrivals",Multiple car rental company counters for arriving passengers.,06:00 - 23:00 daily,"Located in the arrivals hall, opposite the Taxi Pickup Zone exit.","Step-free access, accessible vehicles available on request.","Taxi Pickup Zone, Shuttle Bus Stop",Car rental support / +49-30-000-1126
KB020,Medical Assistance Point,information_desk,Terminal 1,"Ground Floor, Main Hall",First-aid and medical assistance point staffed by trained personnel.,24 hours,"Located near the Pharmacy in the main terminal hall, marked with a red cross sign.","Fully wheelchair accessible, emergency stretcher access.","Pharmacy, Information Desk",Airport medical emergency / +49-30-000-9999
